Drug_Name,SMILES
Methotrexate,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
Methotrimeprazine,CC(CN1C2=CC=CC=C2SC3=C1C=C(C=C3)OC)CN(C)C
Methoxamine,CC(C(C1=C(C=CC(=C1)OC)OC)O)N
Methoxsalen,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2
Methoxsalen (topical),
Methoxyflurane,COC(C(Cl)Cl)(F)F
Aripiprazole,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
Methscopolamine,C[N+]1(C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4)C
Methsuximide,CC1(CC(=O)N(C1=O)C)C2=CC=CC=C2
Methyl aminolevulinate (topical),
Methyl salicylate (topical),
Methylcellulose,
Methyldopa,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)N
Methylene blue,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-]
Methylergometrine,CCC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C
Methylnaltrexone,C[N+]1(CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)O)O4)O)CC6CC6
Methylphenidate,COC(=O)C(C1CCCCN1)C2=CC=CC=C2
Armodafinil,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N
Methylphenobarbital,CCC1(C(=O)NC(=O)N(C1=O)C)C2=CC=CC=C2
Methylprednisolone,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O
Methylprednisolone (topical),
Methyltestosterone,CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C)O)C
Methysergide,CCC(CO)NC(=O)C1CN(C2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C
Meticillin,CC1(C(N2C(S1)C(C2=O)NC(=O)C3=C(C=CC=C3OC)OC)C(=O)O)C
Metipranolol (ophthalmic),
Metoclopramide,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl
Metocurine,C[N+]1(CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C6C(CC7=CC(=C(C=C7)OC)O3)[N+](CCC6=CC(=C5OC)OC)(C)C)OC)C
Metolazone,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl
Acebutolol,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
Arsenic trioxide,[O-2].[O-2].[O-2].[As+3].[As+3]
Metoprolol,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O
Metreleptin,
Metronidazole,CC1=NC=C(N1CCO)[N+](=O)[O-]
Metronidazole (topical),
Metyrapone,CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2
Metyrosine,CC(CC1=CC=C(C=C1)O)(C(=O)O)N
Mexiletine,CC1=C(C(=CC=C1)C)OCC(C)N
Mezlocillin,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)NC(=O)N4CCN(C4=O)S(=O)(=O)C)C(=O)O)C
Micafungin,CCCCCOC1=CC=C(C=C1)C2=CC(=NO2)C3=CC=C(C=C3)C(=O)NC4CC(C(NC(=O)C5C(C(CN5C(=O)C(NC(=O)C(NC(=O)C6CC(CN6C(=O)C(NC4=O)C(C)O)O)C(C(C7=CC(=C(C=C7)O)OS(=O)(=O)O)O)O)C(CC(=O)N)O)C)O)O)O
